"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"106",234,23,"Shrub Cover = 34%",201,134,95,0.788235,0.52549,0.372549,5,0
"107",235,368,"Shrub Cover = 35%",201,132,95,0.788235,0.517647,0.372549,82,0.4
"108",236,32,"Shrub Cover = 36%",199,129,91,0.780392,0.505882,0.356863,7,0
"109",237,48,"Shrub Cover = 37%",199,127,91,0.780392,0.498039,0.356863,11,0
"110",238,56,"Shrub Cover = 38%",199,126,90,0.780392,0.494118,0.352941,12,0.1
"111",239,57,"Shrub Cover = 39%",199,126,90,0.780392,0.494118,0.352941,13,0.1
"112",240,70,"Shrub Cover = 40%",199,123,88,0.780392,0.482353,0.345098,16,0.1
"113",241,63,"Shrub Cover = 41%",196,121,86,0.768627,0.47451,0.337255,14,0.1
"114",242,49,"Shrub Cover = 42%",196,118,84,0.768627,0.462745,0.329412,11,0
"115",243,32,"Shrub Cover = 43%",196,118,84,0.768627,0.462745,0.329412,7,0
"116",244,28,"Shrub Cover = 44%",196,115,82,0.768627,0.45098,0.321569,6,0
"117",245,88,"Shrub Cover = 45%",196,115,82,0.768627,0.45098,0.321569,20,0.1
"118",246,16,"Shrub Cover = 46%",194,110,79,0.760784,0.431373,0.309804,4,0
"119",247,25,"Shrub Cover = 47%",194,110,79,0.760784,0.431373,0.309804,6,0
"120",248,23,"Shrub Cover = 48%",194,110,79,0.760784,0.431373,0.309804,5,0
"121",249,5,"Shrub Cover = 49%",194,107,78,0.760784,0.419608,0.305882,1,0
"122",250,6,"Shrub Cover = 50%",191,105,77,0.74902,0.411765,0.301961,1,0
"123",251,2,"Shrub Cover = 51%",191,102,75,0.74902,0.4,0.294118,0,0
"124",252,3,"Shrub Cover = 52%",191,102,75,0.74902,0.4,0.294118,1,0
"125",255,21,"Shrub Cover = 55%",189,96,70,0.741176,0.376471,0.27451,5,0
"126",310,1,"Herb Cover = 10%",255,204,102,1,0.8,0.4,0,0
"127",311,1,"Herb Cover = 11%",255,204,102,1,0.8,0.4,0,0
"128",315,76,"Herb Cover = 15%",255,198,99,1,0.776471,0.388235,17,0.1
"129",319,2,"Herb Cover = 19%",255,193,94,1,0.756863,0.368627,0,0
"130",321,3,"Herb Cover = 21%",255,190,92,1,0.745098,0.360784,1,0
"131",322,6,"Herb Cover = 22%",255,190,92,1,0.745098,0.360784,1,0
"132",323,5,"Herb Cover = 23%",255,189,89,1,0.741176,0.34902,1,0
"133",324,8,"Herb Cover = 24%",255,186,89,1,0.729412,0.34902,2,0
"134",325,37,"Herb Cover = 25%",255,185,87,1,0.72549,0.341176,8,0
"135",326,11,"Herb Cover = 26%",255,185,87,1,0.72549,0.341176,2,0
"136",327,7,"Herb Cover = 27%",255,181,84,1,0.709804,0.329412,2,0
"137",328,8,"Herb Cover = 28%",255,181,84,1,0.709804,0.329412,2,0
"138",329,20,"Herb Cover = 29%",255,180,82,1,0.705882,0.321569,4,0
"139",330,23,"Herb Cover = 30%",255,177,82,1,0.694118,0.321569,5,0
"140",331,24,"Herb Cover = 31%",255,176,79,1,0.690196,0.309804,5,0
"141",332,23,"Herb Cover = 32%",255,176,79,1,0.690196,0.309804,5,0
"142",333,22,"Herb Cover = 33%",255,173,79,1,0.678431,0.309804,5,0
"143",334,43,"Herb Cover = 34%",255,172,77,1,0.67451,0.301961,10,0
"144",335,129,"Herb Cover = 35%",255,172,77,1,0.67451,0.301961,29,0.1
"145",336,46,"Herb Cover = 36%",255,171,74,1,0.670588,0.290196,10,0
"146",337,52,"Herb Cover = 37%",255,167,74,1,0.654902,0.290196,12,0.1
"147",338,43,"Herb Cover = 38%",255,166,71,1,0.65098,0.278431,10,0
"148",339,58,"Herb Cover = 39%",255,166,71,1,0.65098,0.278431,13,0.1
"149",340,67,"Herb Cover = 40%",255,162,69,1,0.635294,0.270588,15,0.1
"150",341,61,"Herb Cover = 41%",255,162,69,1,0.635294,0.270588,14,0.1
"151",342,88,"Herb Cover = 42%",255,161,66,1,0.631373,0.258824,20,0.1
"152",343,89,"Herb Cover = 43%",255,158,66,1,0.619608,0.258824,20,0.1
"153",344,95,"Herb Cover = 44%",255,158,66,1,0.619608,0.258824,21,0.1
"154",345,244,"Herb Cover = 45%",255,156,64,1,0.611765,0.25098,54,0.2
"155",346,124,"Herb Cover = 46%",255,153,64,1,0.6,0.25098,28,0.1
"156",347,138,"Herb Cover = 47%",255,152,61,1,0.596078,0.239216,31,0.1
"157",348,160,"Herb Cover = 48%",255,152,61,1,0.596078,0.239216,36,0.2
"158",349,200,"Herb Cover = 49%",255,147,59,1,0.576471,0.231373,44,0.2
"159",350,211,"Herb Cover = 50%",255,147,59,1,0.576471,0.231373,47,0.2
"160",351,238,"Herb Cover = 51%",255,146,56,1,0.572549,0.219608,53,0.2
"161",352,295,"Herb Cover = 52%",255,142,56,1,0.556863,0.219608,66,0.3
"162",353,310,"Herb Cover = 53%",255,141,54,1,0.552941,0.211765,69,0.3
"163",354,337,"Herb Cover = 54%",255,141,54,1,0.552941,0.211765,75,0.3
"164",355,3325,"Herb Cover = 55%",255,137,54,1,0.537255,0.211765,739,3.3
"165",356,734,"Herb Cover = 56%",255,136,51,1,0.533333,0.2,163,0.7
"166",357,1140,"Herb Cover = 57%",255,136,51,1,0.533333,0.2,254,1.1
"167",358,1555,"Herb Cover = 58%",255,135,48,1,0.529412,0.188235,346,1.6
"168",359,1733,"Herb Cover = 59%",255,131,48,1,0.513725,0.188235,385,1.7
"169",360,1909,"Herb Cover = 60%",255,130,46,1,0.509804,0.180392,425,1.9
"170",361,1845,"Herb Cover = 61%",255,130,46,1,0.509804,0.180392,410,1.9
"171",362,1705,"Herb Cover = 62%",255,124,43,1,0.486275,0.168627,379,1.7
"172",363,1520,"Herb Cover = 63%",255,124,43,1,0.486275,0.168627,338,1.5
"173",364,1452,"Herb Cover = 64%",255,123,41,1,0.482353,0.160784,323,1.5
"174",365,1630,"Herb Cover = 65%",255,119,41,1,0.466667,0.160784,363,1.6
"175",366,1149,"Herb Cover = 66%",255,119,41,1,0.466667,0.160784,256,1.2
"176",367,886,"Herb Cover = 67%",255,118,38,1,0.462745,0.14902,197,0.9
"177",368,728,"Herb Cover = 68%",255,114,38,1,0.447059,0.14902,162,0.7
"178",369,511,"Herb Cover = 69%",255,112,36,1,0.439216,0.141176,114,0.5
"179",370,335,"Herb Cover = 70%",255,112,36,1,0.439216,0.141176,75,0.3
"180",371,485,"Herb Cover = 71%",255,107,33,1,0.419608,0.129412,108,0.5
"181",372,23,"Herb Cover = 72%",255,107,33,1,0.419608,0.129412,5,0
"182",373,3,"Herb Cover = 73%",255,105,31,1,0.411765,0.121569,1,0
"183",374,3,"Herb Cover = 74%",255,102,31,1,0.4,0.121569,1,0
"184",375,16,"Herb Cover = 75%",255,100,28,1,0.392157,0.109804,4,0
