"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"36",7997,81,"Eastern Warm Temperate Pasture and Hayland",7997,2967,"Dab Pasture and Hayland","Herb","Agricultural",67,"Agricultural-Pasture and Hayland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",227,212,28,0.890196,0.831373,0.109804,18,0.1
"37",9041,68,"Atlantic Coastal Plain Blackwater Stream Floodplain Forest",9041,2474,"Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Tree","Riparian",668,"Eastern Small Stream Riparian Forests","SAF 92: Sweetgum-Willow Oak","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",145,255,115,0.568627,1,0.45098,15,0.1
"38",9240,557,"Southern Atlantic Coastal Plain Florida Beach",9240,2498,"Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,124,0.6
"39",9241,2099,"Southern Atlantic Coastal Plain Fresh and Oligohaline Tidal Marsh",9241,2490,"Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems","Herb","Riparian",653,"Atlantic Coastal Marsh","LF 50: Tidal Flats and Marshes","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,153,0,1,0.6,0,467,2.1
"40",9243,19925,"Southern Atlantic Coastal Plain Salt and Brackish Tidal Marsh",9243,2490,"Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems","Herb","Riparian",653,"Atlantic Coastal Marsh","LF 50: Tidal Flats and Marshes","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,153,0,1,0.6,0,4431,20
"41",9245,111,"Southern Atlantic Coastal Plain Tidal Wooded Swamp",9245,2480,"Tr Gulf and Atlantic Coastal Plain Swamp Systems","Tree","Riparian",694,"Atlantic Swamp Forests","LF 46: Atlantic Coastal Plain Swamp","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",216,216,191,0.847059,0.847059,0.74902,25,0.1
"42",9247,573,"Southern Coastal Plain Blackwater River Floodplain Forest",9247,2473,"Tr Gulf and Atlantic Coastal Plain Floodplain Systems","Tree","Riparian",666,"Eastern Floodplain Forests","SAF 92: Sweetgum-Willow Oak","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",145,255,115,0.568627,1,0.45098,127,0.6
"43",9248,5793,"Southern Coastal Plain Hydric Hammock",9248,2480,"Tr Gulf and Atlantic Coastal Plain Swamp Systems","Tree","Riparian",694,"Atlantic Swamp Forests","LF 46: Atlantic Coastal Plain Swamp","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",216,216,191,0.847059,0.847059,0.74902,1288,5.8
"44",9249,240,"Southern Coastal Plain Nonriverine Basin Swamp",9249,2480,"Tr Gulf and Atlantic Coastal Plain Swamp Systems","Tree","Riparian",694,"Atlantic Swamp Forests","LF 46: Atlantic Coastal Plain Swamp","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",216,216,191,0.847059,0.847059,0.74902,53,0.2
"45",9250,221,"Southern Coastal Plain Oak Dome and Hammock",9250,2595,"Tr Southern Coastal Plain Oak Dome and Hammock","Tree","Riparian",658,"Coastal Plain Oak Forest","SAF 89: Live Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",145,255,115,0.568627,1,0.45098,49,0.2
"46",9320,71,"Southeastern Native Ruderal Flooded & Swamp Forest",9320,2572,"Tr Southeastern Native Ruderal Flooded & Swamp Forest","Tree","Riparian",708,"Introduced Woody Wetland Vegetation","LF 58: Introduced Woody Wetlands and Riparian Vegetation","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",0,132,168,0,0.517647,0.658824,16,0.1
"47",9321,715,"Southeastern Native Ruderal Forest",9321,2573,"Tr Southeastern Native Ruderal Forest","Tree","Conifer-Hardwood",707,"Introduced Upland Vegetation-Treed","LF 51: Introduced Upland Vegetation - Tree","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",255,105,46,1,0.411765,0.180392,159,0.7
"48",9322,5808,"Southeastern North American Temperate Forest Plantation",9322,2574,"Tr Southeastern North American Temperate Forest Plantation","Tree","Conifer",731,"Managed Tree Plantation","LF 61: Managed Tree Plantation","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",158,67,14,0.619608,0.262745,0.054902,1292,5.8
"49",9323,95,"Southeastern Ruderal Shrubland",9323,2575,"Sh Southeastern Ruderal Grassland & Shrubland","Shrub","Exotic Tree-Shrub",706,"Introduced Upland Vegetation-Shrub","LF 52: Introduced Upland Vegetation - Shrub","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",255,105,46,1,0.411765,0.180392,21,0.1
"50",9324,35,"Southeastern Ruderal Wet Meadow & Marsh",9324,2576,"He Southeastern Ruderal Wet Meadow & Marsh","Herb","Riparian",709,"Introduced Herbaceous Wetland Vegetation","LF 59: Introduced Herbaceous Wetland and Riparian Vegetation","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,8,0
"51",9332,16,"Southeastern Exotic Ruderal Flooded & Swamp Forest",9332,2570,"Tr Southeastern Exotic Ruderal Flooded & Swamp Forest","Tree","Riparian",708,"Introduced Woody Wetland Vegetation","LF 58: Introduced Woody Wetlands and Riparian Vegetation","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",0,132,168,0,0.517647,0.658824,4,0
"52",9541,47,"Atlantic Coastal Plain Blackwater Stream Floodplain Shrubland",9041,2474,"Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Shrub","Riparian",668,"Eastern Small Stream Riparian Forests","SAF 92: Sweetgum-Willow Oak","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",145,255,115,0.568627,1,0.45098,10,0
"53",9823,1992,"Southeastern Ruderal Grassland",9323,2575,"Sh Southeastern Ruderal Grassland & Shrubland","Herb","Exotic Herbaceous",703,"Introduced Perennial Grassland and Forbland","LF 54: Introduced Upland Vegetation - Herbaceous","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,105,46,1,0.411765,0.180392,443,2
