"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"94","Surface Fire","14740_46_47_48_55_56_58_60_99",0.0077594,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems",9,0.921569,106,0.5,0.8224964
"95","Surface Fire","14800_55_99",0.0045442,"Gulf and Atlantic Coastal Plain Swamp Systems",3,0.701961,3375,15.2,15.336675
"96","Wind or Weather or Stress","13470_55_58_60",0.0020636,"Atlantic Coastal Plain Upland Longleaf Pine Woodland",12,0.094118,0,0,0
"97","Wind or Weather or Stress","13570_46_47_55_58_99",0.0030712,"Southern Coastal Plain Mesic Slope Forest",13,0.278431,3,0,0.0092136
"98","Wind or Weather or Stress","13870_55_56",0.004309,"Florida Peninsula Inland Scrub",14,0,1,0,0.004309
"99","Wind or Weather or Stress","14530_55_56",0.0133696,"Central Florida Pine Flatwoods",5,0.403922,1130,5.1,15.107648
"100","Wind or Weather or Stress","14610_46_55_56_99",0.0075216,"Southern Coastal Plain Seepage Swamp and Baygall",11,1,21,0.1,0.1579536
"101","Wind or Weather or Stress","14730_55_58_60",0.0031086,"Gulf and Atlantic Coastal Plain Floodplain Systems",6,0.803922,600,2.7,1.86516
"102","Wind or Weather or Stress","14740_46_47_48_55_56_58_60_99",0.006732,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems",9,0.921569,106,0.5,0.713592
"103","Wind or Weather or Stress","14800_55_99",0.0090626,"Gulf and Atlantic Coastal Plain Swamp Systems",3,0.701961,3375,15.2,30.586275
"104","Wind or Weather or Stress","14890_55_56_99",0.0001402,"Floridian Highlands Freshwater Marsh",7,0.368627,578,2.6,0.0810356
